Anno;Municipio;Eta_capofamiglia;Genere_capofamiglia;Numero_componenti;Famiglie
2003;Municipio 5;Da 65 a 79 anni;Femmine;2;1136
2003;Municipio 5;Da 65 a 79 anni;Femmine;3;196
2003;Municipio 5;Da 65 a 79 anni;Femmine;4 e più;67
2003;Municipio 5;80 anni e più;Femmine;1;2385
2003;Municipio 5;80 anni e più;Femmine;2;358
2003;Municipio 5;80 anni e più;Femmine;3;50
2003;Municipio 5;80 anni e più;Femmine;4 e più;15
2003;Municipio 6;Da 18 a 34 anni;Maschi;1;2756
2003;Municipio 6;Da 18 a 34 anni;Maschi;2;1827
2003;Municipio 6;Da 18 a 34 anni;Maschi;3;950
2003;Municipio 6;Da 18 a 34 anni;Maschi;4 e più;513
2003;Municipio 6;Da 35 a 64 anni;Maschi;1;4950
2003;Municipio 6;Da 35 a 64 anni;Maschi;2;5754
2003;Municipio 6;Da 35 a 64 anni;Maschi;3;6658
2003;Municipio 6;Da 35 a 64 anni;Maschi;4 e più;6861
2003;Municipio 6;Da 65 a 79 anni;Maschi;1;1612
2003;Municipio 6;Da 65 a 79 anni;Maschi;2;6333
2003;Municipio 6;Da 65 a 79 anni;Maschi;3;1888
2003;Municipio 6;Da 65 a 79 anni;Maschi;4 e più;569
2003;Municipio 6;80 anni e più;Maschi;1;645
2003;Municipio 6;80 anni e più;Maschi;2;1476
2003;Municipio 6;80 anni e più;Maschi;3;197
2003;Municipio 6;80 anni e più;Maschi;4 e più;38
2003;Municipio 6;Da 18 a 34 anni;Femmine;1;2334
2003;Municipio 6;Da 18 a 34 anni;Femmine;2;883
2003;Municipio 6;Da 18 a 34 anni;Femmine;3;348
2003;Municipio 6;Da 18 a 34 anni;Femmine;4 e più;192
2003;Municipio 6;Da 35 a 64 anni;Femmine;1;5399
2003;Municipio 6;Da 35 a 64 anni;Femmine;2;3286
2003;Municipio 6;Da 35 a 64 anni;Femmine;3;1690
2003;Municipio 6;Da 35 a 64 anni;Femmine;4 e più;990
2003;Municipio 6;Da 65 a 79 anni;Femmine;1;6060
2003;Municipio 6;Da 65 a 79 anni;Femmine;2;1612
2003;Municipio 6;Da 65 a 79 anni;Femmine;3;276
2003;Municipio 6;Da 65 a 79 anni;Femmine;4 e più;94
2003;Municipio 6;80 anni e più;Femmine;1;3611
2003;Municipio 6;80 anni e più;Femmine;2;543
2003;Municipio 6;80 anni e più;Femmine;3;77
2003;Municipio 6;80 anni e più;Femmine;4 e più;25
2003;Municipio 7;Da 18 a 34 anni;Maschi;1;3133
2003;Municipio 7;Da 18 a 34 anni;Maschi;2;2087
2003;Municipio 7;Da 18 a 34 anni;Maschi;3;1089
2003;Municipio 7;Da 18 a 34 anni;Maschi;4 e più;593
2003;Municipio 7;Da 35 a 64 anni;Maschi;1;5774
2003;Municipio 7;Da 35 a 64 anni;Maschi;2;6592
2003;Municipio 7;Da 35 a 64 anni;Maschi;3;7692
2003;Municipio 7;Da 35 a 64 anni;Maschi;4 e più;8020
2003;Municipio 7;Da 65 a 79 anni;Maschi;1;1727
2003;Municipio 7;Da 65 a 79 anni;Maschi;2;6778
2003;Municipio 7;Da 65 a 79 anni;Maschi;3;2024
2003;Municipio 7;Da 65 a 79 anni;Maschi;4 e più;611
2003;Municipio 7;80 anni e più;Maschi;1;704
2003;Municipio 7;80 anni e più;Maschi;2;1615
2003;Municipio 7;80 anni e più;Maschi;3;217
2003;Municipio 7;80 anni e più;Maschi;4 e più;43
2003;Municipio 7;Da 18 a 34 anni;Femmine;1;2727
2003;Municipio 7;Da 18 a 34 anni;Femmine;2;1030
2003;Municipio 7;Da 18 a 34 anni;Femmine;3;403
2003;Municipio 7;Da 18 a 34 anni;Femmine;4 e più;227
2003;Municipio 7;Da 35 a 64 anni;Femmine;1;6098
2003;Municipio 7;Da 35 a 64 anni;Femmine;2;3711
2003;Municipio 7;Da 35 a 64 anni;Femmine;3;1922
2003;Municipio 7;Da 35 a 64 anni;Femmine;4 e più;1130
2003;Municipio 7;Da 65 a 79 anni;Femmine;1;6405
2003;Municipio 7;Da 65 a 79 anni;Femmine;2;1699
2003;Municipio 7;Da 65 a 79 anni;Femmine;3;292
2003;Municipio 7;Da 65 a 79 anni;Femmine;4 e più;101
2003;Municipio 7;80 anni e più;Femmine;1;3894
2003;Municipio 7;80 anni e più;Femmine;2;584
2003;Municipio 7;80 anni e più;Femmine;3;81
2003;Municipio 7;80 anni e più;Femmine;4 e più;26
2003;Municipio 8;Da 18 a 34 anni;Maschi;1;3148
2003;Municipio 8;Da 18 a 34 anni;Maschi;2;2082
2003;Municipio 8;Da 18 a 34 anni;Maschi;3;1082
2003;Municipio 8;Da 18 a 34 anni;Maschi;4 e più;588
2003;Municipio 8;Da 35 a 64 anni;Maschi;1;5827
2003;Municipio 8;Da 35 a 64 anni;Maschi;2;6670
2003;Municipio 8;Da 35 a 64 anni;Maschi;3;7766
2003;Municipio 8;Da 35 a 64 anni;Maschi;4 e più;8083
2003;Municipio 8;Da 65 a 79 anni;Maschi;1;1905
2003;Municipio 8;Da 65 a 79 anni;Maschi;2;7478
2003;Municipio 8;Da 65 a 79 anni;Maschi;3;2194
2003;Municipio 8;Da 65 a 79 anni;Maschi;4 e più;653
2003;Municipio 8;80 anni e più;Maschi;1;800
2003;Municipio 8;80 anni e più;Maschi;2;1848
2003;Municipio 8;80 anni e più;Maschi;3;250
2003;Municipio 8;80 anni e più;Maschi;4 e più;50
2003;Municipio 8;Da 18 a 34 anni;Femmine;1;2654
2003;Municipio 8;Da 18 a 34 anni;Femmine;2;1002
2003;Municipio 8;Da 18 a 34 anni;Femmine;3;393
2003;Municipio 8;Da 18 a 34 anni;Femmine;4 e più;217
2003;Municipio 8;Da 35 a 64 anni;Femmine;1;6127
2003;Municipio 8;Da 35 a 64 anni;Femmine;2;3728
2003;Municipio 8;Da 35 a 64 anni;Femmine;3;1927
2003;Municipio 8;Da 35 a 64 anni;Femmine;4 e più;1137
2003;Municipio 8;Da 65 a 79 anni;Femmine;1;7127
2003;Municipio 8;Da 65 a 79 anni;Femmine;2;1882
2003;Municipio 8;Da 65 a 79 anni;Femmine;3;322
2003;Municipio 8;Da 65 a 79 anni;Femmine;4 e più;120
2003;Municipio 8;80 anni e più;Femmine;1;4169
2003;Municipio 8;80 anni e più;Femmine;2;627
2003;Municipio 8;80 anni e più;Femmine;3;88
2003;Municipio 8;80 anni e più;Femmine;4 e più;27
2003;Municipio 9;Da 18 a 34 anni;Maschi;1;3421
2003;Municipio 9;Da 18 a 34 anni;Maschi;2;2260
2003;Municipio 9;Da 18 a 34 anni;Maschi;3;1175
2003;Municipio 9;Da 18 a 34 anni;Maschi;4 e più;631
2003;Municipio 9;Da 35 a 64 anni;Maschi;1;5698
2003;Municipio 9;Da 35 a 64 anni;Maschi;2;6384
2003;Municipio 9;Da 35 a 64 anni;Maschi;3;7495
2003;Municipio 9;Da 35 a 64 anni;Maschi;4 e più;7889
2003;Municipio 9;Da 65 a 79 anni;Maschi;1;1568
2003;Municipio 9;Da 65 a 79 anni;Maschi;2;6165
2003;Municipio 9;Da 65 a 79 anni;Maschi;3;1828
2003;Municipio 9;Da 65 a 79 anni;Maschi;4 e più;548
2003;Municipio 9;80 anni e più;Maschi;1;615
2003;Municipio 9;80 anni e più;Maschi;2;1423
2003;Municipio 9;80 anni e più;Maschi;3;192
2003;Municipio 9;80 anni e più;Maschi;4 e più;39
2003;Municipio 9;Da 18 a 34 anni;Femmine;1;2641
2003;Municipio 9;Da 18 a 34 anni;Femmine;2;996
2003;Municipio 9;Da 18 a 34 anni;Femmine;3;388
2003;Municipio 9;Da 18 a 34 anni;Femmine;4 e più;219
2003;Municipio 9;Da 35 a 64 anni;Femmine;1;5640
2003;Municipio 9;Da 35 a 64 anni;Femmine;2;3436
2003;Municipio 9;Da 35 a 64 anni;Femmine;3;1783
2003;Municipio 9;Da 35 a 64 anni;Femmine;4 e più;1058
2003;Municipio 9;Da 65 a 79 anni;Femmine;1;5952
2003;Municipio 9;Da 65 a 79 anni;Femmine;2;1563
2003;Municipio 9;Da 65 a 79 anni;Femmine;3;265
2003;Municipio 9;Da 65 a 79 anni;Femmine;4 e più;94
2003;Municipio 9;80 anni e più;Femmine;1;3406
2003;Municipio 9;80 anni e più;Femmine;2;512
2003;Municipio 9;80 anni e più;Femmine;3;72
2003;Municipio 9;80 anni e più;Femmine;4 e più;25
2004;Municipio 1;Da 18 a 34 anni;Maschi;1;1865
2004;Municipio 1;Da 18 a 34 anni;Maschi;2;1121
2004;Municipio 1;Da 18 a 34 anni;Maschi;3;587
2004;Municipio 1;Da 18 a 34 anni;Maschi;4 e più;314
2004;Municipio 1;Da 35 a 64 anni;Maschi;1;3592
2004;Municipio 1;Da 35 a 64 anni;Maschi;2;3892
2004;Municipio 1;Da 35 a 64 anni;Maschi;3;4554
2004;Municipio 1;Da 35 a 64 anni;Maschi;4 e più;4772
2004;Municipio 1;Da 65 a 79 anni;Maschi;1;863
2004;Municipio 1;Da 65 a 79 anni;Maschi;2;3360
2004;Municipio 1;Da 65 a 79 anni;Maschi;3;1009
2004;Municipio 1;Da 65 a 79 anni;Maschi;4 e più;300
2004;Municipio 1;80 anni e più;Maschi;1;457
2004;Municipio 1;80 anni e più;Maschi;2;998
2004;Municipio 1;80 anni e più;Maschi;3;135
2004;Municipio 1;80 anni e più;Maschi;4 e più;29
2004;Municipio 1;Da 18 a 34 anni;Femmine;1;1804
2004;Municipio 1;Da 18 a 34 anni;Femmine;2;643
2004;Municipio 1;Da 18 a 34 anni;Femmine;3;255
2004;Municipio 1;Da 18 a 34 anni;Femmine;4 e più;138
2004;Municipio 1;Da 35 a 64 anni;Femmine;1;4010
2004;Municipio 1;Da 35 a 64 anni;Femmine;2;2367
2004;Municipio 1;Da 35 a 64 anni;Femmine;3;1244
2004;Municipio 1;Da 35 a 64 anni;Femmine;4 e più;764
2004;Municipio 1;Da 65 a 79 anni;Femmine;1;2999
2004;Municipio 1;Da 65 a 79 anni;Femmine;2;797
2004;Municipio 1;Da 65 a 79 anni;Femmine;3;136
2004;Municipio 1;Da 65 a 79 anni;Femmine;4 e più;47
2004;Municipio 1;80 anni e più;Femmine;1;2314
2004;Municipio 1;80 anni e più;Femmine;2;351
2004;Municipio 1;80 anni e più;Femmine;3;49
2004;Municipio 1;80 anni e più;Femmine;4 e più;10
2004;Municipio 2;Da 18 a 34 anni;Maschi;1;3178
2004;Municipio 2;Da 18 a 34 anni;Maschi;2;1914
2004;Municipio 2;Da 18 a 34 anni;Maschi;3;993
2004;Municipio 2;Da 18 a 34 anni;Maschi;4 e più;538
2004;Municipio 2;Da 35 a 64 anni;Maschi;1;5013
2004;Municipio 2;Da 35 a 64 anni;Maschi;2;5227
2004;Municipio 2;Da 35 a 64 anni;Maschi;3;6178
2004;Municipio 2;Da 35 a 64 anni;Maschi;4 e più;6625
2004;Municipio 2;Da 65 a 79 anni;Maschi;1;1267
2004;Municipio 2;Da 65 a 79 anni;Maschi;2;4942
2004;Municipio 2;Da 65 a 79 anni;Maschi;3;1472
2004;Municipio 2;Da 65 a 79 anni;Maschi;4 e più;442
2004;Municipio 2;80 anni e più;Maschi;1;569
2004;Municipio 2;80 anni e più;Maschi;2;1327
2004;Municipio 2;80 anni e più;Maschi;3;179
2004;Municipio 2;80 anni e più;Maschi;4 e più;35
2004;Municipio 2;Da 18 a 34 anni;Femmine;1;2360
2004;Municipio 2;Da 18 a 34 anni;Femmine;2;839
2004;Municipio 2;Da 18 a 34 anni;Femmine;3;333
2004;Municipio 2;Da 18 a 34 anni;Femmine;4 e più;184
2004;Municipio 2;Da 35 a 64 anni;Femmine;1;4957
2004;Municipio 2;Da 35 a 64 anni;Femmine;2;2925
2004;Municipio 2;Da 35 a 64 anni;Femmine;3;1545
2004;Municipio 2;Da 35 a 64 anni;Femmine;4 e più;955
2004;Municipio 2;Da 65 a 79 anni;Femmine;1;4586
2004;Municipio 2;Da 65 a 79 anni;Femmine;2;1225
2004;Municipio 2;Da 65 a 79 anni;Femmine;3;211
2004;Municipio 2;Da 65 a 79 anni;Femmine;4 e più;68
2004;Municipio 2;80 anni e più;Femmine;1;2986
2004;Municipio 2;80 anni e più;Femmine;2;453
2004;Municipio 2;80 anni e più;Femmine;3;63
2004;Municipio 2;80 anni e più;Femmine;4 e più;22
2004;Municipio 3;Da 18 a 34 anni;Maschi;1;2773
2004;Municipio 3;Da 18 a 34 anni;Maschi;2;1684
2004;Municipio 3;Da 18 a 34 anni;Maschi;3;884
2004;Municipio 3;Da 18 a 34 anni;Maschi;4 e più;476
2004;Municipio 3;Da 35 a 64 anni;Maschi;1;4969
2004;Municipio 3;Da 35 a 64 anni;Maschi;2;5300
2004;Municipio 3;Da 35 a 64 anni;Maschi;3;6218
2004;Municipio 3;Da 35 a 64 anni;Maschi;4 e più;6566
2004;Municipio 3;Da 65 a 79 anni;Maschi;1;1322
2004;Municipio 3;Da 65 a 79 anni;Maschi;2;5151
2004;Municipio 3;Da 65 a 79 anni;Maschi;3;1527
2004;Municipio 3;Da 65 a 79 anni;Maschi;4 e più;457
2004;Municipio 3;80 anni e più;Maschi;1;692
2004;Municipio 3;80 anni e più;Maschi;2;1558
2004;Municipio 3;80 anni e più;Maschi;3;209
2004;Municipio 3;80 anni e più;Maschi;4 e più;40
2004;Municipio 3;Da 18 a 34 anni;Femmine;1;2255
2004;Municipio 3;Da 18 a 34 anni;Femmine;2;803
2004;Municipio 3;Da 18 a 34 anni;Femmine;3;317
2004;Municipio 3;Da 18 a 34 anni;Femmine;4 e più;178
2004;Municipio 3;Da 35 a 64 anni;Femmine;1;5198
2004;Municipio 3;Da 35 a 64 anni;Femmine;2;3075
2004;Municipio 3;Da 35 a 64 anni;Femmine;3;1617
2004;Municipio 3;Da 35 a 64 anni;Femmine;4 e più;990
2004;Municipio 3;Da 65 a 79 anni;Femmine;1;5100
2004;Municipio 3;Da 65 a 79 anni;Femmine;2;1344
2004;Municipio 3;Da 65 a 79 anni;Femmine;3;226
2004;Municipio 3;Da 65 a 79 anni;Femmine;4 e più;77
2004;Municipio 3;80 anni e più;Femmine;1;3863
2004;Municipio 3;80 anni e più;Femmine;2;586
2004;Municipio 3;80 anni e più;Femmine;3;82
2004;Municipio 3;80 anni e più;Femmine;4 e più;25
2004;Municipio 4;Da 18 a 34 anni;Maschi;1;2963
2004;Municipio 4;Da 18 a 34 anni;Maschi;2;1802
2004;Municipio 4;Da 18 a 34 anni;Maschi;3;948
2004;Municipio 4;Da 18 a 34 anni;Maschi;4 e più;517
2004;Municipio 4;Da 35 a 64 anni;Maschi;1;5286
2004;Municipio 4;Da 35 a 64 anni;Maschi;2;5579
2004;Municipio 4;Da 35 a 64 anni;Maschi;3;6565
2004;Municipio 4;Da 35 a 64 anni;Maschi;4 e più;6988
2004;Municipio 4;Da 65 a 79 anni;Maschi;1;1588
2004;Municipio 4;Da 65 a 79 anni;Maschi;2;6190
2004;Municipio 4;Da 65 a 79 anni;Maschi;3;1801
2004;Municipio 4;Da 65 a 79 anni;Maschi;4 e più;536
2004;Municipio 4;80 anni e più;Maschi;1;724
2004;Municipio 4;80 anni e più;Maschi;2;1670
2004;Municipio 4;80 anni e più;Maschi;3;226
2004;Municipio 4;80 anni e più;Maschi;4 e più;46
2004;Municipio 4;Da 18 a 34 anni;Femmine;1;2526
2004;Municipio 4;Da 18 a 34 anni;Femmine;2;900
2004;Municipio 4;Da 18 a 34 anni;Femmine;3;358
2004;Municipio 4;Da 18 a 34 anni;Femmine;4 e più;204
2004;Municipio 4;Da 35 a 64 anni;Femmine;1;5510
2004;Municipio 4;Da 35 a 64 anni;Femmine;2;3248
2004;Municipio 4;Da 35 a 64 anni;Femmine;3;1705
2004;Municipio 4;Da 35 a 64 anni;Femmine;4 e più;1043
2004;Municipio 4;Da 65 a 79 anni;Femmine;1;6161
2004;Municipio 4;Da 65 a 79 anni;Femmine;2;1623
2004;Municipio 4;Da 65 a 79 anni;Femmine;3;277
2004;Municipio 4;Da 65 a 79 anni;Femmine;4 e più;95
2004;Municipio 4;80 anni e più;Femmine;1;4038
